id,insee,num_demand,lat,lon,v_commune_2024_Insee_LIBELLE
1271,"66221","12",42.53950753,2.50777958,Valmanya
1272,"66221","12",42.54210160,2.52220753,Valmanya
2174,"66090","56",42.58473965,2.27874841,Jujols
2943,"66066","17",42.50800367,1.88403021,Enveitg
1454,"66150","31",42.46689685,2.44207736,Prats-de-Mollo-la-Preste
3886,"66206","131",42.44124447,2.52335202,Le Tech
933,"66122","149",42.64133290,2.22745796,Nohèdes
260,"66206","91",42.44239785,2.52545736,Le Tech
1337,"66221","44",42.51505427,2.48281884,Valmanya
261,"66206","131",42.43937598,2.52706467,Le Tech
1327,"66122","149",42.64033971,2.23151381,Nohèdes
936,"66191","142",42.59841059,2.18305536,Sansa
2945,"66066","17",42.51654623,1.87509003,Enveitg
941,"66090","93",42.58653785,2.27649401,Jujols
451,"66095","98",42.48730795,1.85072237,Latour-de-Carol
460,"66122","149",42.64395545,2.22330774,Nohèdes
3764,"66149","30",42.59270543,2.43178149,Prades
3134,"66150","32",42.42765949,2.36471105,Prats-de-Mollo-la-Preste
288,"66091","120",42.38664493,2.51010225,Lamanère
3770,"66150","206",42.41957330,2.40602207,Prats-de-Mollo-la-Preste
710,"66150","31",42.47236186,2.44792469,Prats-de-Mollo-la-Preste
3138,"66150","32",42.42784807,2.37088071,Prats-de-Mollo-la-Preste
3881,"66206","131",42.44424806,2.52201418,Le Tech
3155,"66150","76",42.44179970,2.41186388,Prats-de-Mollo-la-Preste
943,"66090","93",42.57492849,2.27727593,Jujols
3171,"66150","76",42.44546973,2.39558546,Prats-de-Mollo-la-Preste
951,"66157","38",42.60451752,2.15653039,Railleu
472,"66122","149",42.63918664,2.23127456,Nohèdes
749,"66150","31",42.46117931,2.46138457,Prats-de-Mollo-la-Preste
944,"66128","55",42.58605294,2.21525134,Oreilla
3678,"66086","135",42.58483373,2.56480420,Glorianes
1167,"66074","20",42.66093441,2.41825337,Eus
966,"66221","44",42.52593069,2.47978125,Valmanya
3187,"66150","31",42.46786332,2.44104309,Prats-de-Mollo-la-Preste
400,"66119","74",42.69012469,2.32551967,Mosset
372,"66150","32",42.41808051,2.36561326,Prats-de-Mollo-la-Preste
2593,"66198","69",42.71731351,2.39587535,Sournia
972,"66080","128",42.46798727,2.18515192,Fontpédrouse
995,"66067","84",42.43123998,2.04086970,Err
3869,"66128","55",42.59200923,2.21915768,Oreilla
1054,"66109","25",42.68197846,2.39188738,Molitg-les-Bains
1227,"66043","13",42.48359014,2.42230677,Casteil
431,"66150","32",42.41809214,2.36535270,Prats-de-Mollo-la-Preste
2657,"66086","135",42.58184115,2.56323434,Glorianes
300,"66122","46",42.63582301,2.25436000,Nohèdes
3743,"66005","71",42.52232798,1.95789631,Angoustrine-Villeneuve-des-Escaldes
3481,"66057","114",42.58682101,2.38454763,Corneilla-de-Conflent
18,"66066","17",42.50072813,1.89186022,Enveitg
1405,"66090","56",42.57805587,2.28968482,Jujols
1994,"66221","12",42.54263102,2.53106931,Valmanya
825,"66062","48",42.51531703,1.93312864,Dorres
1284,"66221","44",42.52498753,2.47644664,Valmanya
1444,"66150","32",42.42942471,2.36706579,Prats-de-Mollo-la-Preste
19,"66066","17",42.50603289,1.89481625,Enveitg
374,"66150","32",42.41168691,2.36371499,Prats-de-Mollo-la-Preste
1320,"66119","109",42.69051741,2.30647409,Mosset
1855,"66130","159",42.40909523,2.01217047,Osséja
1988,"66198","69",42.70007468,2.37816589,Sournia
918,"66080","128",42.47965450,2.19111861,Fontpédrouse
3542,"66190","228",42.83497684,2.84646130,Salses-le-Château
992,"66119","74",42.69107065,2.31861609,Mosset
3106,"66086","135",42.58242011,2.56379248,Glorianes
3744,"66005","71",42.51118939,1.96474550,Angoustrine-Villeneuve-des-Escaldes
3745,"66005","71",42.51403664,1.96069196,Angoustrine-Villeneuve-des-Escaldes
3746,"66005","71",42.51589596,1.94544010,Angoustrine-Villeneuve-des-Escaldes
161,"66066","17",42.51132646,1.90056300,Enveitg
3747,"66005","71",42.50971869,1.96233047,Angoustrine-Villeneuve-des-Escaldes
3182,"66150","31",42.46124913,2.47488962,Prats-de-Mollo-la-Preste
3563,"66102","220",42.47250235,2.29383393,Mantet
1774,"66022","78",42.57182863,2.56650979,Boule-d'Amont
1285,"66221","44",42.52204285,2.47630285,Valmanya
1417,"66150","32",42.42551356,2.36645378,Prats-de-Mollo-la-Preste
1886,"66198","69",42.70853453,2.38581976,Sournia
377,"66150","31",42.45720213,2.44726689,Prats-de-Mollo-la-Preste
150,"66125","8",42.62875260,2.21671316,Olette
480,"66125","8",42.62679372,2.21952438,Olette
2268,"66119","106",42.69958258,2.27699043,Mosset
2752,"66198","73",42.69922122,2.38672398,Sournia
277,"66198","69",42.70213403,2.36800358,Sournia
1439,"66062","48",42.49833000,1.91367449,Dorres
3185,"66150","31",42.46830905,2.44495305,Prats-de-Mollo-la-Preste
3186,"66150","31",42.46945109,2.43765414,Prats-de-Mollo-la-Preste
396,"66005","71",42.53116798,1.96251229,Angoustrine-Villeneuve-des-Escaldes
562,"66147","37",42.57891226,1.83250460,Porté-Puymorens
576,"66125","8",42.60678388,2.23470029,Olette
259,"66155","54",42.49182416,2.31247299,Py
1359,"66150","32",42.41589362,2.37017996,Prats-de-Mollo-la-Preste
3193,"66150","31",42.47090034,2.44262776,Prats-de-Mollo-la-Preste
3198,"66150","31",42.47184914,2.44416021,Prats-de-Mollo-la-Preste
3201,"66150","31",42.47389404,2.44535728,Prats-de-Mollo-la-Preste
3206,"66150","31",42.45866329,2.42726884,Prats-de-Mollo-la-Preste
270,"66198","69",42.69699417,2.36667773,Sournia
3207,"66150","31",42.45971757,2.41850349,Prats-de-Mollo-la-Preste
3211,"66150","31",42.45774858,2.42404584,Prats-de-Mollo-la-Preste
369,"66150","76",42.44160592,2.38369742,Prats-de-Mollo-la-Preste
3995,"66147","232",42.56215931,1.79385240,Porté-Puymorens
1443,"66150","31",42.46241232,2.44663268,Prats-de-Mollo-la-Preste
3212,"66150","31",42.46010830,2.42494571,Prats-de-Mollo-la-Preste
3215,"66150","31",42.45686996,2.42108721,Prats-de-Mollo-la-Preste
432,"66122","102",42.62998129,2.24015519,Nohèdes
664,"66150","32",42.41751249,2.36547692,Prats-de-Mollo-la-Preste
282,"66128","18",42.58912455,2.22213090,Oreilla
310,"66122","102",42.63753313,2.27559288,Nohèdes
2153,"66090","56",42.58546639,2.28040079,Jujols
413,"66206","91",42.44689407,2.52028466,Le Tech
3217,"66150","31",42.46085075,2.42140644,Prats-de-Mollo-la-Preste
2001,"66119","125",42.68126393,2.30495233,Mosset
36,"66198","73",42.70024827,2.40985483,Sournia
1704,"66150","206",42.42364072,2.38731510,Prats-de-Mollo-la-Preste
416,"66221","92",42.53237906,2.53903300,Valmanya
312,"66122","102",42.63546229,2.27965597,Nohèdes
365,"66150","31",42.45659493,2.44837590,Prats-de-Mollo-la-Preste
382,"66150","32",42.42272986,2.37355142,Prats-de-Mollo-la-Preste
647,"66060","53",42.47738893,2.54865103,Corsavy
529,"66150","35",42.40872499,2.36670360,Prats-de-Mollo-la-Preste
